method,scen,ran,KLdm,KLDs
meta,1,1,0.08158327637541621,0.06073263735937582
meta,1,2,2.645587084135253,2.5221287718517074
meta,1,3,2.534913531266496,2.4143446730184506
meta,2,1,0.12354460074581618,0.03802492009453278
meta,2,2,1.3692769756242018,1.369878891956815
meta,2,3,1.57014730634782,1.708785448456679
meta,3,1,0.1765329705245249,0.05860057961553107
meta,3,2,2.5358442360331086,2.0027440323923233
meta,3,3,2.5370599150246558,1.960434140607272
meta,4,1,0.353398668457623,0.13339669315226266
meta,4,2,1.3391326478479226,1.1771216992607119
meta,4,3,1.4881008483476281,1.035548753148209
metafp,1,1,0.04640690958323218,0.04522477675232585
metafp,1,2,1.929083568044765,2.4167535901738435
metafp,1,3,1.7957658740485036,1.7873799493174989
metafp,2,1,0.5650288497328076,0.10769492386566691
metafp,2,2,1.3734442318709286,1.1094382427270082
metafp,2,3,1.5793597374949586,1.2514434825137986
metafp,3,1,1.1178687167670351,0.10471567420765049
metafp,3,2,2.7874920550643005,1.5660524158489793
metafp,3,3,2.960037311610129,1.5646235922472735
metafp,4,1,9.992029344331883,0.37546169420115794
metafp,4,2,10.36363741013953,1.3310610462612742
metafp,4,3,10.404867712353516,1.3291174293997814
mv,1,1,0.07584270665261153,0.06209063844555025
mv,1,2,2.3392783900414473,2.447600314619074
mv,1,3,2.15042764640836,2.04698032604565
mv,2,1,0.14914449942042712,0.03684038413985152
mv,2,2,1.1818000024677215,1.201407134622164
mv,2,3,1.3579247700917059,1.4279648351524676
mv,3,1,0.1972401432088738,0.055732983940078466
mv,3,2,2.156378053886487,1.7514761013818323
mv,3,3,2.2961416830053007,1.6753009172869493
mv,4,1,0.7652546897083252,0.18972173601655493
mv,4,2,1.5808895437540782,0.9054103426800049
mv,4,3,1.7880551562748495,1.0081989299410306
mvfp,1,1,0.03518015111436456,0.04468777500512213
mvfp,1,2,2.2197287127289167,2.493854994032607
mvfp,1,3,2.0468247592227407,2.0906145631176973
mvfp,2,1,0.0647536753522205,0.05589057957037673
mvfp,2,2,1.09588570458118,1.2040413010343212
mvfp,2,3,1.2874396415873703,1.4906822061262308
mvfp,3,1,0.07548701081036549,0.08633947489906289
mvfp,3,2,1.8806619699886302,1.6388602596189452
mvfp,3,3,1.9746816767765856,1.5352956220703606
mvfp,4,1,10.096086599212292,2.224512763258461
mvfp,4,2,10.586393569698169,2.65638108160766
mvfp,4,3,11.633623766400662,2.62861818816742
