method,scen,ran,KLdm,KLDs
meta,1,1,0.012795285735549857,0.011188585004626632
meta,1,2,0.13996524305991506,0.15003133119730572
meta,1,3,0.12868788415116217,0.15421107683895965
meta,2,1,0.01326308201341992,0.0031879127702333426
meta,2,2,0.07910123894027031,0.08054979957318532
meta,2,3,0.049471163248652424,0.05543715176630755
meta,3,1,0.024022847038528437,0.008166299860684711
meta,3,2,0.18444416840734618,0.23281573179410198
meta,3,3,0.1379432531480666,0.14374260327525276
meta,4,1,0.02585260809494818,0.013644640968437266
meta,4,2,0.10412280541702655,0.10240295273450996
meta,4,3,0.12327453120564343,0.11770417800144664
metafp,1,1,0.006097709104887237,0.005426315311879157
metafp,1,2,0.1333848900188616,0.14678794760271846
metafp,1,3,0.1211170350777634,0.15086830957681818
metafp,2,1,0.05213213014943219,0.006118881386252977
metafp,2,2,0.12126626698874317,0.07883274851394856
metafp,2,3,0.09001553167303875,0.054857147220182256
metafp,3,1,0.11394870540178084,0.006019933956226267
metafp,3,2,0.28350139357409065,0.2516370452779074
metafp,3,3,0.24295973867261506,0.1572864202007877
metafp,4,1,0.8480537917225843,0.02111294963571697
metafp,4,2,0.9288202254376265,0.12773480684487445
metafp,4,3,0.950116464496687,0.16097985561004388
mv,1,1,0.012939725481741942,0.011466702021476125
mv,1,2,0.14236116035386884,0.14695356553778732
mv,1,3,0.12827479632704808,0.15155399633027294
mv,2,1,0.01329250927957057,0.0031800003593745432
mv,2,2,0.0795402602319218,0.0773575017235789
mv,2,3,0.05119797409169693,0.05375441182748532
mv,3,1,0.024209664738495444,0.0076865261227599515
mv,3,2,0.19337076455891627,0.24882102816252005
mv,3,3,0.1511478845277055,0.15654019648657527
mv,4,1,0.026024216541610412,0.01387527733186825
mv,4,2,0.10256307540364137,0.09907244809985595
mv,4,3,0.12288932937311978,0.11596269773434476
mvfp,1,1,0.005074154199871995,0.010139827010022046
mvfp,1,2,0.13532666754344794,0.1474020297165256
mvfp,1,3,0.11966518321610038,0.1533791867129242
mvfp,2,1,0.008419219213799954,0.005320668877995386
mvfp,2,2,0.07062906464234811,0.07661272933233762
mvfp,2,3,0.04519517238841365,0.05357407407437556
mvfp,3,1,0.014419416551905356,0.01361094808180168
mvfp,3,2,0.18019622728432566,0.24774212155293324
mvfp,3,3,0.14233611505059793,0.15974281989138445
mvfp,4,1,0.7006345425067928,0.021139350896857634
mvfp,4,2,0.7648844464129597,0.10170117935585705
mvfp,4,3,0.7912114902536356,0.11764889117921015
